"id","country","code"
"1","中国大陆","+86"
"2","中国台湾地区","+886"
"3","中国香港","+852"
"4","马来西亚","+60"
"5","新加坡","+65"
"6","日本","+81"
"7","韩国","+82"
"8","美国","+1"
"9","加拿大","+1"
"10","澳大利亚","+61"
"11","新西兰","+64"
"12","阿尔巴尼亚","+355"
"13","阿根廷","+54"
"14","阿联酋","+971"
"15","阿曼","+968"
"16","阿塞拜疆","+994"
"17","爱尔兰","+353"
"18","埃及","+20"
"19","爱沙尼亚","+372"
"20","安哥拉","+244"
"21","奥地利","+43"
"22","中国澳门","+853"
"23","巴布亚新几内亚","+675"
"24","巴哈马","+1242"
"25","巴勒斯坦","+970"
"26","巴林","+973"
"27","巴拿马","+507"
"28","巴西","+55"
"29","白俄罗斯","+375"
"30","保加利亚","+359"
"31","贝宁","+229"
"32","比利时","+32"
"33","秘鲁","+51"
"34","波兰","+48"
"35","玻利维亚","+591"
"36","伯利兹","+501"
"37","布基纳法索","+226"
"38","赤道几内亚","+240"
"39","丹麦","+45"
"40","德国","+49"
"41","多哥","+228"
"42","俄罗斯","+7"
"43","法国","+33"
"44","菲律宾","+63"
"45","芬兰","+358"
"46","佛得角","+238"
"47","冈比亚","+220"
"48","格林纳达","+1473"
"49","格鲁吉亚","+995"
"50","哥伦比亚","+57"
"51","哥斯达黎加","+506"
"52","圭亚那","+592"
"53","荷兰","+31"
"54","洪都拉斯","+504"
"55","吉布提","+253"
"56","吉尔吉斯斯坦","+996"
"57","几内亚","+224"
"58","几内亚比绍","+245"
"59","加蓬","+241"
"60","柬埔寨","+855"
"61","津巴布韦","+263"
"62","喀麦隆","+237"
"63","卡塔尔","+974"
"64","开曼群岛","+1345"
"65","克罗地亚","+385"
"66","科摩罗","+269"
"67","科威特","+965"
"68","肯尼亚","+254"
"69","拉脱维亚","+371"
"70","莱索托","+266"
"71","立陶宛","+370"
"72","卢森堡","+352"
"73","卢旺达","+250"
"74","罗马尼亚","+40"
"75","马达加斯加","+261"
"76","马尔代夫","+960"
"77","马拉维","+265"
"78","马里","+223"
"79","毛里求斯","+230"
"80","毛里塔尼亚","+222"
"81","蒙古","+976"
"82","摩尔多瓦","+373"
"83","摩洛哥","+212"
"84","莫桑比克","+258"
"85","墨西哥","+52"
"86","纳米比亚","+264"
"87","南非","+27"
"88","尼加拉瓜","+505"
"89","尼日尔","+227"
"90","尼日利亚","+234"
"91","挪威","+47"
"92","葡萄牙","+351"
"93","瑞典","+46"
"94","瑞士","+41"
"95","萨尔瓦多","+503"
"96","塞尔维亚","+381"
"97","塞拉利昂","+232"
"98","塞内加尔","+221"
"99","塞浦路斯","+357"
"100","塞舌尔","+248"
"101","沙特阿拉伯","+966"
"102","斯里兰卡","+94"
"103","斯洛伐克","+421"
"104","斯洛文尼亚","+386"
"105","斯威士兰","+268"
"106","苏里南","+597"
"107","塔吉克斯坦","+992"
"108","泰国","+66"
"109","坦桑尼亚","+255"
"110","特立尼达和多巴哥","+1868"
"111","土耳其","+90"
"112","土库曼斯坦","+993"
"113","突尼斯","+216"
"114","危地马拉","+502"
"115","委内瑞拉","+58"
"116","文莱","+673"
"117","乌干达","+256"
"118","乌克兰","+380"
"119","乌拉圭","+598"
"120","乌兹别克斯坦","+998"
"121","西班牙","+34"
"122","希腊","+30"
"123","匈牙利","+36"
"124","牙买加","+1876"
"125","也门","+967"
"126","意大利","+39"
"127","以色列","+972"
"128","印度","+91"
"129","印度尼西亚","+62"
"130","英国","+44"
"131","英属维尔京群岛","+1284"
"132","约旦","+962"
"133","越南","+84"
"134","赞比亚","+260"
"135","乍得","+235"
"136","智利","+56"
